title,num,link,time
《南方论坛》第86讲：大变动时代的图像叙事——晚清画报三十年（陈平原教授）-中山大学南方学院,6,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/112.html,2016-03-31
我院举行2015年终总结及表彰大会暨新春团拜会-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/119.html,2016-01-15
我院杨光烈副教授论文获中共深圳市委常委、深圳市政府党组成员杨洪同志批示-中山大学南方学院,5,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/122.html,2016-01-11
我院加入中国CDIO工程教育联盟-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/120.html,2016-01-14
喜讯：我院教师首次获省社科学术年会论文奖-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/127.html,2016-01-04
南方论坛系列讲座之八十五讲通知-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/131.html,2016-03-22
我院杨光烈副教授论文获中共深圳市委常委、深圳市政府党组成员杨洪同志批示-中山大学南方学院,5,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/125.html,2016-01-11
南方论坛系列讲座之八十四讲通知-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/137.html,2016-03-04
“我们期望一个成熟的市场”--记政商精英论坛第十二讲-中山大学南方学院,11,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/153.html,2016-04-26
陈平原教授莅临文传系交流座谈-中山大学南方学院,15,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/156.html,2016-04-26
青春无限 活力南苑——文传系“五四红评”红旗团支部评选大会顺利举行-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/158.html,2016-04-26
网络社交，缔造人际交往新模式——学术社交网络大数据研究与实践讲座顺利举行-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/173.html,2016-04-21
我院院长助理赵过渡教授一行赴汕头大学商学院调研-中山大学南方学院,4,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/176.html,2016-04-21
广外艺术学院音乐系毕业生与我院音乐系毕业生艺术交流会圆满结束-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/178.html,2016-04-21
“爱校，爱家，爱自己”--政商研究院第一期学生干部培训会顺利开展-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/190.html,2016-04-20
常年大量游客进入 大学校园对外开放遇-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/193.html,2016-04-05
决赛沙场，点兵取佳绩—第三届“经世杯”广州地区高校ERP沙盘交流大赛圆满落下帷幕-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/211.html,2016-04-19
三尺讲台的教师之梦——文传系第七届“最强讲师”总决赛顺利举行-中山大学南方学院,4,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/214.html,2016-04-18
经济学与商务管理系举行青年教师教学技能竞赛-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/223.html,2016-04-18
共青团政商研究院团总支部成立大会暨第一次团员代表大会顺利召开-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/226.html,2016-04-12
共青团政商研究院团总支部成立大会暨第一次团员代表大会顺利召开-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/225.html,2016-04-12
国际学院第三届青年教师教学比赛初赛顺利举行-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/227.html,2016-04-11
综合素养学部教学竞赛初赛暨教学观摩活动顺利进行-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/236.html,2016-04-08
国际学院院长陈剑波一行赴兄弟院校交流学习-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/234.html,2016-04-07
博学审问攀书山，慎思明辨渡文海——文传系第六届“文海赛舟”文史知识竞赛圆满成功-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/240.html,2016-04-05
十八般武艺 再接再厉——工商管理系十百千各项目开课中-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/232.html,2016-04-08
十年校庆之“育人树人精神传承”—记外文系“十年树人”校友论坛第二期-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/247.html,2016-04-05
被“玩坏”的分期消费：大学生过度消费隐患多-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/252.html,2016-03-08
调查：60.6%受访大学生认为 男女生之间存在纯友谊-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/256.html,2016-03-03
公管系与三家从化企业建立校企合作实践平台-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/259.html,2016-03-31
上一代的榜样，下一代的传承——文传系“谈家风，说家规”演讲比赛圆满结束-中山大学南方学院,7,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/255.html,2016-03-31
经济学与商务管理系青年教师科研项目申报及成果显示研讨会圆满结束-中山大学南方学院,8,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/257.html,2016-03-31
传承家风家规，弘扬传统美德——记政商研究院“家风”主题演讲比赛-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/265.html,2016-03-03
文传系“雷锋一条街”活动顺利举行-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/270.html,2016-03-28
加拿大北大西洋学院代表团一行来访我院-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/277.html,2016-03-25
聚焦近期超300名高校独董密集离职潮：剑指高校腐败-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/281.html,2016-02-22
聚焦“两个一流”：世界一流学科的中国标准是什么-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/284.html,2015-12-22
“办学缺钱”：中国的大学为何少有校友捐赠？-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/288.html,2015-12-21
高校毕业生平均起薪4187？不少毕业生叹拖后腿-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/291.html,2015-12-28
“谈家风，说家规”——经济学与商务管理系家风演讲比赛圆满结束-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/275.html,2016-03-28
上海高校建设适应大学生发展需求新型网络平台-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/298.html,2015-12-26
中国大学社会捐赠总额破750亿元-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/300.html,2015-12-25
自己-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/312.html,2016-01-07
2015年中国高等教育热点透析-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/316.html,2016-01-04
我院工会教职工书画协会成立大会暨第一届理事会第一次会议召开-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/320.html,2016-03-14
文传系与广东广播电视台移动频道合作搭建协同育人平台-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/322.html,2016-03-11
走进政商宿舍，走近政商学子——记新学期师生宿舍走访-中山大学南方学院,3,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/329.html,2016-03-01
产教结合，共享双赢——电软系赴企业考察交流-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/334.html,2016-01-25
勇攀高峰，展望未来——外文系新学期班长会议顺利召开-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/330.html,2016-03-01
寒潮不减热情 相聚更显情深——电子通信与软件工程系顺利举办校友交流会-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/333.html,2016-01-28
文学与传媒系2016年学术研讨会议成功举办-中山大学南方学院,4,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/338.html,2016-01-08
电软系召开工程教育专业认证课程改革项目中期检查会-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/335.html,2016-01-18
【信息时报】专业排行榜比大学排行榜更准确-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/346.html,2016-04-22
【金羊网】陈平原做客中大南方学院 开讲《晚清画报三十年》-中山大学南方学院,6,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/350.html,2016-04-19
【新快报】不一定都要读本科 读个感兴趣的专科也好-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/348.html,2016-04-22
副校长 黄静波-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/389.html,2016-05-03
建“云课堂”教学形式更灵活 思政课的“脸”悄改变-中山大学南方学院,9,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/397.html,2015-07-06
新增就业超千万，你的工作好找吗？-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/403.html,2015-12-21
盘点2015高等教育十大关键词-中山大学南方学院,2,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/400.html,2016-04-27
高校创新创业教育不能走偏 开公司不等于全部内容-中山大学南方学院,7,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/408.html,2015-12-06
全国40余所大学和中学联合启动慕课大学先修课-中山大学南方学院,1,http://www.nfu.edu.cn/index.php/home/article/search_detail/id/415.html,2015-11-28
